Date,Open,High,Low,Close,Volume
01/16/2020,"4.61","4.71","4.52","4.62","4,287,065"
01/15/2020,"4.66","4.73","4.55","4.61","4,981,116"
01/14/2020,"4.78","5.00","4.53","4.71","12,562,570"
01/13/2020,"5.43","5.61","5.33","5.43","3,634,014"
01/10/2020,"5.56","5.60","5.38","5.43","2,781,412"
01/09/2020,"5.82","5.82","5.48","5.55","2,643,051"
01/08/2020,"5.49","5.85","5.41","5.72","5,629,445"
01/07/2020,"5.77","5.83","5.44","5.52","5,235,519"
01/06/2020,"5.80","5.91","5.60","5.85","3,394,777"
01/03/2020,"6.21","6.25","5.84","5.88","3,550,961"
01/02/2020,"6.14","6.47","6.07","6.31","4,430,750"
12/31/2019,"6.08","6.39","5.99","6.08","4,322,610"
12/30/2019,"5.88","6.25","5.76","6.13","4,482,348"
12/27/2019,"5.42","5.98","5.39","5.90","11,041,290"
12/26/2019,"5.47","5.51","5.25","5.40","4,266,153"
12/24/2019,"5.65","5.67","5.44","5.44","3,395,510"
12/23/2019,"6.05","6.07","5.54","5.61","6,282,908"
12/20/2019,"6.06","6.22","5.96","5.99","5,484,629"
12/19/2019,"6.21","6.24","6.03","6.06","4,451,979"
12/18/2019,"6.06","6.27","5.93","6.16","5,265,606"
12/17/2019,"5.50","6.08","5.49","6.06","4,142,334"
12/16/2019,"5.39","5.59","5.39","5.50","4,407,206"
12/13/2019,"5.47","5.62","5.24","5.45","5,439,018"
12/12/2019,"5.46","5.71","5.41","5.58","6,387,374"
12/11/2019,"5.25","5.81","5.18","5.53","19,538,910"
12/10/2019,"6.29","6.54","6.12","6.51","9,718,849"
12/09/2019,"6.65","6.92","6.19","6.33","6,351,558"
12/06/2019,"6.39","6.68","6.39","6.68","4,757,388"
12/05/2019,"6.32","6.52","6.24","6.40","4,381,413"
12/04/2019,"6.17","6.49","6.12","6.43","2,872,485"
12/03/2019,"6.04","6.18","5.93","6.12","2,216,198"
12/02/2019,"6.35","6.46","6.09","6.17","2,060,626"
11/29/2019,"6.33","6.39","6.24","6.34","1,368,983"
11/27/2019,"6.10","6.39","6.02","6.35","3,031,154"
11/26/2019,"6.03","6.26","6.01","6.10","2,650,689"
11/25/2019,"5.67","6.06","5.63","6.03","2,744,888"
11/22/2019,"5.59","5.85","5.50","5.66","3,494,050"
11/21/2019,"5.46","5.58","5.35","5.50","2,784,021"
11/20/2019,"5.54","5.54","5.36","5.46","2,666,697"
11/19/2019,"5.57","5.66","5.45","5.50","3,360,548"
11/18/2019,"5.85","5.85","5.61","5.62","2,995,894"
11/15/2019,"6.00","6.01","5.85","5.88","2,166,051"
11/14/2019,"5.95","6.11","5.90","5.98","1,708,735"
11/13/2019,"5.91","5.97","5.81","5.94","1,533,919"
11/12/2019,"6.03","6.07","5.87","5.92","1,834,485"
11/11/2019,"6.05","6.09","5.77","6.02","3,109,457"
11/08/2019,"6.17","6.28","6.05","6.09","1,968,720"
11/07/2019,"6.18","6.32","6.04","6.22","3,129,283"
11/06/2019,"5.90","6.19","5.82","6.09","4,128,292"
11/05/2019,"5.88","6.20","5.86","5.91","3,374,121"
11/04/2019,"5.90","6.02","5.77","5.85","3,670,049"
11/01/2019,"5.45","6.00","5.43","5.84","5,210,355"
10/31/2019,"5.63","5.69","5.31","5.44","4,358,572"
10/30/2019,"5.76","5.83","5.52","5.73","3,739,543"
10/29/2019,"6.21","6.25","5.79","5.81","3,918,778"
10/28/2019,"6.38","6.49","6.17","6.19","2,854,744"
10/25/2019,"6.32","6.43","6.25","6.35","2,645,415"
10/24/2019,"6.50","6.55","6.03","6.42","4,277,374"
10/23/2019,"6.33","6.62","6.23","6.43","4,073,142"
10/22/2019,"5.93","6.44","5.93","6.39","4,176,832"
10/21/2019,"5.98","6.16","5.82","5.93","3,611,903"
10/18/2019,"6.03","6.05","5.77","5.94","3,197,108"
10/17/2019,"5.89","6.05","5.80","6.03","3,641,113"
10/16/2019,"5.58","5.91","5.58","5.88","3,884,788"
10/15/2019,"5.60","5.91","5.59","5.61","6,351,119"
10/14/2019,"5.32","5.59","5.22","5.58","5,406,311"
10/11/2019,"5.14","5.49","5.14","5.37","5,910,838"
10/10/2019,"5.02","5.15","4.96","5.05","5,259,227"
10/09/2019,"5.25","5.30","4.96","4.99","5,865,592"
10/08/2019,"5.43","5.44","5.16","5.23","4,823,410"
10/07/2019,"5.48","5.58","5.41","5.49","4,439,476"
10/04/2019,"5.43","5.56","5.37","5.55","4,234,207"
10/03/2019,"5.30","5.48","5.23","5.42","4,437,568"
10/02/2019,"5.55","5.55","5.24","5.32","8,464,988"
10/01/2019,"5.64","5.82","5.49","5.58","6,592,949"
09/30/2019,"5.43","5.64","5.40","5.52","9,364,495"
