Date,Open,High,Low,Close
03/26/2019,"3,910","3,945","3,902","3,937"
03/25/2019,"3,981","4,001","3,889","3,908"
03/24/2019,"3,997","4,011","3,969","3,981"
03/23/2019,"4,000","4,025","3,985","3,997"
03/22/2019,"3,997","4,020","3,987","4,000"
03/21/2019,"4,044","4,084","3,956","3,997"
03/20/2019,"4,027","4,049","4,004","4,044"
03/19/2019,"4,006","4,046","3,986","4,027"
03/18/2019,"4,010","4,049","3,972","4,006"
03/17/2019,"4,013","4,024","3,972","4,010"
03/16/2019,"3,933","4,073","3,921","4,012"
03/15/2019,"3,884","3,941","3,881","3,934"
03/14/2019,"3,885","3,925","3,823","3,884"
03/13/2019,"3,898","3,905","3,861","3,885"
03/12/2019,"3,879","3,911","3,832","3,898"
03/11/2019,"3,931","3,944","3,854","3,880"
03/10/2019,"3,925","3,952","3,904","3,931"
03/09/2019,"3,903","3,978","3,806","3,925"
03/08/2019,"3,907","3,944","3,884","3,909"
03/07/2019,"3,879","3,923","3,869","3,906"
03/06/2019,"3,868","3,907","3,844","3,878"
03/05/2019,"3,733","3,901","3,716","3,869"
03/04/2019,"3,824","3,839","3,705","3,733"
03/03/2019,"3,843","3,854","3,810","3,824"
03/02/2019,"3,866","3,870","3,804","3,843"
03/01/2019,"3,836","3,878","3,819","3,866"
02/28/2019,"3,781","3,916","3,775","3,836"
02/27/2019,"3,825","3,860","3,704","3,781"
02/26/2019,"3,844","3,866","3,799","3,825"
02/25/2019,"3,819","3,894","3,763","3,844"
02/24/2019,"4,142","4,217","3,757","3,818"
02/23/2019,"3,979","4,184","3,949","4,142"
02/22/2019,"3,935","3,995","3,922","3,979"
02/21/2019,"3,951","4,027","3,908","3,935"
02/20/2019,"3,920","3,992","3,900","3,952"
02/19/2019,"3,889","4,006","3,870","3,918"
02/18/2019,"3,623","3,939","3,620","3,890"
02/17/2019,"3,631","3,697","3,596","3,628"
02/16/2019,"3,599","3,647","3,596","3,631"
02/15/2019,"3,604","3,644","3,582","3,599"
02/14/2019,"3,601","3,618","3,581","3,604"
02/13/2019,"3,612","3,663","3,592","3,601"
02/12/2019,"3,623","3,649","3,582","3,611"
02/11/2019,"3,635","3,685","3,615","3,623"
02/10/2019,"3,653","3,663","3,613","3,635"
02/09/2019,"3,628","3,671","3,622","3,653"
02/08/2019,"3,384","3,738","3,374","3,630"
02/07/2019,"3,394","3,406","3,380","3,384"
02/06/2019,"3,450","3,464","3,371","3,394"
02/05/2019,"3,445","3,458","3,424","3,450"
02/04/2019,"3,422","3,461","3,418","3,445"
02/03/2019,"3,462","3,509","3,414","3,421"
02/02/2019,"3,481","3,485","3,444","3,462"
02/01/2019,"3,445","3,484","3,407","3,481"
01/31/2019,"3,463","3,498","3,427","3,445"
01/30/2019,"3,428","3,488","3,400","3,463"
01/29/2019,"3,442","3,465","3,371","3,429"
01/28/2019,"3,563","3,563","3,402","3,442"
01/27/2019,"3,583","3,591","3,515","3,563"
01/26/2019,"3,580","3,669","3,572","3,583"
01/25/2019,"3,596","3,606","3,553","3,580"
01/24/2019,"3,565","3,617","3,549","3,596"
01/23/2019,"3,594","3,627","3,547","3,565"
01/22/2019,"3,537","3,625","3,447","3,595"
01/21/2019,"3,555","3,570","3,526","3,537"
01/20/2019,"3,728","3,731","3,506","3,555"
01/19/2019,"3,634","3,784","3,629","3,727"
01/18/2019,"3,650","3,673","3,605","3,634"
01/17/2019,"3,623","3,667","3,579","3,650"
01/16/2019,"3,593","3,688","3,593","3,623"
01/15/2019,"3,693","3,714","3,582","3,593"
01/14/2019,"3,545","3,732","3,526","3,693"
01/13/2019,"3,656","3,675","3,516","3,545"
01/12/2019,"3,674","3,676","3,608","3,655"
01/11/2019,"3,665","3,718","3,624","3,674"
01/10/2019,"4,029","4,067","3,616","3,665"
01/09/2019,"4,034","4,077","4,000","4,029"
01/08/2019,"4,041","4,136","4,004","4,034"
01/07/2019,"4,072","4,110","3,997","4,040"
01/06/2019,"3,880","4,072","3,810","4,072"
01/05/2019,"3,878","3,912","3,859","3,880"
01/04/2019,"3,840","3,895","3,774","3,878"
01/03/2019,"3,937","3,964","3,813","3,841"
01/02/2019,"3,767","3,943","3,757","3,931"
01/01/2019,"3,722","3,788","3,697","3,769"
12/31/2018,"3,859","3,888","3,697","3,721"
